sentence,label
届いたときは、あまり匂いが気にならなかったのですが、翌日みなさんのレビューどおり匂いがあり、日に日にきつくなっているような。匂いに敏感な方はダメかも。自分も体調がすぐれないときはダメです。冷蔵庫で冷やしてみようかと思います。,2
ハズレを引いたのか、バッテリーがすぐになくなる為、充電が面倒です。,1
複数の商品を同時に購入したが商品が届かなかった,0
②個セットということで、お得感に負けて購入。しかし、取り付け部が緩く、すぐに外れて無くしてしまう。,1
他の人も書かれているとおり粘土の匂いが凄まじいです。 粘土の匂いが苦ではないと厳しいかも。 乾燥による肌のかゆみとかは軽減したけども、匂いが無理でした。使い切りますがリピートはない感じです。,2
扱いやすく重宝しています。母に贈ったのですが、手元がしっかりしていて楽に研ぐ事が出来るそうです。,4
装着感もよく、いくつかのレビューで懸念されているシリコンの臭いも気になりませんでした。 呼吸は辛い訳ではありませんが、寝てる間はキツいかも…？私はお風呂に入ってから寝るまでの間だけ使っています。 まだ使い始めなので効果はわかりませんが、小鼻の無駄な部分をぎゅっと抑える力を感じているので、期待しています。 ただ鼻を左右から押さえこむ形なので、作用があるのは鼻の中央というよりも小鼻。 団子鼻を気にしている方にはあまり効果がないかもしれません。,3
使用開始から1ヶ月で左の音量がガクッと落ちました。 価格を考慮すると音質はかなりいいのですが、耐久性に難あり。,2
最近目の周りのシワと、乾燥が気になって、こちらを購入しました。初めて試しますけど、予想通りに効きます。こんなにお安くて使用感がよくて気に入っていますね！,4
最初にバーナーとガス缶をセットして点火してみましたが ガスが全く出ませんでした。バーナー側かガス缶側にトラブルが有るのか 全く分からず 相当 悩みました。不良品だと半ばあきらめましたが 日を変えてもう一度セットしてみましたら ちゃんとガスが出てくれました。 気密のガスケットが馴染んでいなかったのか 締め方が足りなかったのか よくわかりませんが ちょっと 使い初めには癖があるみたいですね。 本体の商品の作り自体は いいと思います でも カセット用のアダプターはチョット華奢ですね。,3
チャックがうまく閉まらなくてスマホを見るのに何度も開け閉めは大変でした。 トピークの180mmポンプがぎりぎり入ったのは良かったです！ 小銭を入れるチャック付きのスペースがあればよかったけど小銭は入れやすそうなとこは無かった,2
使用して1回目で壊れた。 最初は普通に使えた。振動もパワフルでかなり良い商品だと思った。 しかし風呂で使ってみた後、水滴をタオルでふき取り自然乾燥を行った後、再度充電。 充電完了後、抜いて使おうとするとボタンが反応しない。ランプがつかない状態に。充電ケーブルを刺すとランプは点灯するのだが。。。ケーブルを抜くと消灯。ボタンを押しても反応なし。 手荒に扱ったわけではなく。良い商品だっただけにどうにかしてほしい。。。,0
いつもワイド200枚入りの1200円の物を使っていたので、吸収が良いものを使ってみようと思ったら、値段も高いうえに枚数も少ないのに、いつものと吸収が変わらなくてビックリした。２度と買わない,0
まず納期が10日は余りにも遅いです。 製品はサイドまでカバーし、サイズ感も装着感は良いものの、ガラスの透明度は低く、指紋も付きやすいので有機ELの能力をブロックします。 前回まではアマゾンで1枚1000円クラスを使用していましたが、それらに比べて明らかに品質が低いと実感する製品です。,1
人によるだろうが私のデビルイヤーにはうるさいレベルだよ。スマホの騒音測定アプリでは平均２９デシベル・・さらに姉妹品の取説が入ってた。 ノートパソコンの底面が熱かったのがちょっとは冷えてる。でも音が・・,1
"ワゴンR 20周年車スマホ連動ナビが壊れ修理に2,3万円掛かると言われたことからナビはスマホでブルートゥース音楽とビデオ それにリアカメラ、ハンドルスイッチが使えるもので購入 取り付けに苦労しましたがすべて望み通り機能し購入して良かったです。送られて来た配線図にリアカメラ接続先が間違っていたので星ひとつ減点です。その他OKです。",3
あんだけ空を自由に飛び回れる技術があるわりに爆撃の精度が低すぎるし、ぴょんぴょん凄まじい脚力で飛び回るのに、綱引きになるといきなり馬一匹に手こずるという笑 人間捕獲するにも、もっとひっそりやるでしょうに... アメリカの人ってこういうのが好きなんかな。,1
皆さまとても評価が高いので、楽しみに届くのを待っていたのですが、いざつけてみると、全く反応無し。PHILIPS製でとても期待していたのですが。ただのお金の無駄でした。。。本当に残念です。,0
中古なのか知らないですが 使用しようとしたら 差し込み不良 イヤホンジャック接触不良 金返してください,0
中古ですが、この状態には満足です。ただ、梱包から出したときに、ほこりや汚れがあったのは残念でした。自力で掃除しました。,3
30過ぎると誰でもお腹が少しは出てくるものです。 体重や見た目は一般的でもぽっこりはあります。 この商品はそのぽっこりを引き締めます（感覚的なお話です） 結果、やや息苦しく窮屈です。 温め効果は生地が薄いので体感的にあまり感じません。 もっとも巻いている以上、していないよりは暖かいはずですが 想像をとても裏切ります。（ホカホカする感じとかはない） スタイリッシュに着こなせるので女性には良いかも・・・ ですがやはり窮屈さはなくならないです。 腰やお腹周りを温めるが重要な腹巻ですからその点に重点を置いた商品が良いかと思います。,2
なかなか近所に売ってるところがないので通販しました,2
肩と背中が凝ってると感じたので自分のプレゼントとして、買いました。自分で好きな部分にピンポイントで指圧できるので、急に肩が凝ってどうしようもないときもすぐに対処できます。足裏からふくらはぎ、太ももへと揉むと、むくみも取れます。,4
１０匹以上保護しています。 最近一部が仲が悪くなり、スプレーもし始めました。 去勢・避妊済みなのに・・・と思いコチラをためしましたが、一部の子には効いてるようですが、残りの子は変わりません。 家人がすごいにおい、というので、猫のいるところ全部にはスプレーできないし・・・根気よく試していこうと思います。,2
一流メーカー”貝印”製なので購入しましたが、パンチング ボールが凹んでいました。 ．．．残念。,2
素早い対応と新品同様で綺麗で驚くほどでした。とても良い商品を安く買えました,3
ケースとしてはしっくりきていい感じだけど、lighteningケーブルのカバーがあるせいでケーブルが差しづらいです。,3
2時間で殺虫ライトだけが点かなくなり何度点けても一瞬（1秒）しか点かず、使えない。期待しただけに残念です。すぐに使用したいのに返品、返金に時間もかかるし気分が悪くなりました。似たやつを購入するか検討中。,0
下の挟む部分を開くのが結構堅いです。 試しに一眼レフを付けてみようとしましたが、 重すぎてダメみたいでした。基本的には軽いカメラだけのようです。 胴体部分可動は結構がっちりしていて軽いカメラなら固定したところからずれるといった事はないと思います。 カメラの下についた丸い部分の調整箇所は使用した感じだと、 固定されたのかされてないのか分からないような感じです。 これも同じく軽いカメラならこのくらいでいいのかもしれません。 総合的に値段も安いので相応といった感じのものです。,2
明るいです。カットはでませんが、フォグの形状の問題かもです。壊れないことを願います。,3
オタクの人の書く沼の深さを読みたかったのですが ゲームの内容がわからないと理解できないですね。,1
3ヶ月で画像のように腕に装着してる時に切れました 僅か数ヶ月でこの有り様では使い物になりませんね,1
郵送の際に曲がって届いてショックすぎる。 本は曲がる可能性があるんだからしっかり と対応してほしい。品切れ続出で再購入するか悩む。800円で買ったのに倍の値段で 売られててぼったくりだと感じる。,0
お風呂上がりに洗面所で使用するために購入しました。弱でも涼しく、強では６月には涼しすぎるくらい充分な風量でした。軽いし、音も静かです。また手軽な大きさで充電して使えるので、車での旅行や、子供の運動会の時に活躍しそうです。良い買い物でした。,4
子供が、一生懸命、ためて、購入してました。,2
私には全く合わなく、違和感がすごかったので使えませんでした…,0
上の子に踏まれないよう購入しました。 音楽も流れ種類も豊富だし思っていたよりしっかりしていているので安心して使えてます しかし振動する機能は思っていたものと違っていたこともあり少し残念です…,3
プレゼント用に購入。 変えカバーも付いていて この値段はお得。 固めがよいという希望通りでこの枕は楽で寝心地もよいと言ってました。 ただ どの程度長持ちするかは 分かりませんが・・・,3
ギターを弾くため肘掛け無しが良いのですが、ちょっと高いイスほど肘掛けがあり、この商品は価格帯、デザインともにちょうど良いです。,4
初iPhoneにクリアを選びました。 iPhoneを購入する前に購入し準備しましたが、装着してみてとても気に入りました。 背面ガラスで珍しいデザインになっていて シンプルで良いなと思いました。,4
純性よりも安くて、ほぼ純正と同じに思える。お勧め商品です。,4
★再生について PS4で再生できました。 PCでも再生できました。 (PCのソフトはPower DVD。なんと私のはVersion 9……！こんな古いversionでも再生できたのですから、皆さんも大丈夫ですよね！ ね？！) どちらも、音声日本語・字幕OFFの設定が簡単にできました。 【注！】別の商品ページで、 「Season 1・2・3・'91」全てのBoxが一つにまとめ売りされている商品があるのですが、そちらのレビューには、フランス語の字幕が消せないと書いてあります。 でも、こちらのバラ売りBoxは字幕OFFできました。 もしかしたら、同じように見えて違う商品なのかもしれません。 ★画質について ぶっちゃけVHSビデオテープをそのままDVDにダビングしたような印象です。 それでもおそらく、クリーニング加工はされていると思われますので、普通の試聴には耐えうるレベルです。(素人がダビングしたら、もっと酷い画質になるはず) 先に購入した「劇場版＋TVスペシャル詰め合わせ」と比べると、全体的にやや絵がボヤけていて、テレビ(55インチ)で観ると拡大されて映るぶん眼が疲れました。 ノートPCだと画面が小さいので観るのが楽でした。 (「劇場版＋TVスペシャル詰め合わせ」の方は、やはり元々の作画が良いというのもあるかも) 最近のハイビジョン4k/8kとか、Blu-ray販売ディスクのアニメしか知らない方にはキツいかもしれません。 私はこれぐらいが当たり前な感じで育ってきた世代なので、懐かしい画質だな～って感覚で観られました。 昭和を知らないお若い皆様！ 80年代後半～90年代前半のアニメは、これぐらいの画質が当たり前でした。この画質での試聴に耐えられなければ、過去作品の良さが解らないという所まで来ていますぞ！！！ (と私は思う) ★総合評価 文句ナシで、☆5です。 何しろこのお値段！ そしてこの収録内容とパッケージ！！ 個人的に、収納ケースが気に入りました。 ディスクを互い違いに重ねることで多くの枚数を収納できるように設計されています。これ考えた人スゴイ！ 残念ながら破損状態で届いたという方もいらっしゃるようですが、私のところはケースもディスクも問題なく届きましたので、本当に大満足・文句ナシです。 懐かしい作品が、まとめて手元に来た……これで何時でも好きな時に好きなだけ観直せるのですから、感動モノです。 本当に感謝感激！ 懐かしのモッコリ再び！ ありがとうございましたぁぁぁ！！！,4
まだ数回しか使用していませんが、値段、機能からすると最高だと思います。,4
旅行に行くので買ってみました。 水は減っていますが、500mlペットボトルが半日も経たずに空になりました。説明書きでは1日200-300mlとあったので2日程度は持つかと思っていただけに残念です。,1
概ね問題なかったが、一番大きい包丁の側面がザラザラすぎて、鞘の内側が削れて削りカスが包丁にこびりつくため、洗ってからじゃないと使えない。キャンプに持っていくつもりだったが、大きいのだけキッチン用にして鞘はゴミ箱行きかな。 でもこの値段でこの内容はアリです。,2
他のレビューに「大きい」というご意見がありますが、その通りだと思います。 私自身は手が大きめなのでピッタリでしたが、手の小さい方（特に女性や子供）には使いにくいかもしれません。 手のサイズが合う方であればトラックボールの操作感や、マウスの傾き調整の使い心地は「もう手放せない」という宣伝文句も納得です。 残念なのがbluetooth接続。設定自体は簡単なのですが、電池不足でなくとも数日に一度は接続が切れ、 そのたびにPC再起動とペアリングからやり直しております。 原因がこのマウスなのかPCなのか不明ですが、本機以外のbluetooth機器ではこういった トラブルが無いので煩わしい。,2
包装部分が壊れてました(プラスチック部分)。中身はちゃんとしてましたが売り物でしょ、商品でしょ。自販機の缶コーヒーだって中身が良ければ、落として潰されたようなベコベコの缶コーヒーを商品として売ってもいいのか⁉って事です。そんなベコベコに傷ついた缶コーヒーが出てきたら物凄く気分が悪くなります!!返品する際に買い手側の手続きが面倒だと泣き寝入りしてしまいます。まさにこのパターンです。こんな事、もう繰り返さないでください！,0
ベルばら誕生四十余年、あの春風ロザリーが亡命先の異国で、初老の女性になるまでが描かれていて感無量でした。ロザリーの心が、全ての始まりだったパリの下町へ戻って行くんですね。コミックを読んで、よもや涙することがあろうとは思いませんでしたが、押しも押されぬ名作の完結編、感動しました。,4
us6.5-D (24.5cm相当)の靴に使用。 全体的なシルエットや木材の香りのよさは◎。 ただサイドスプリット部は相当うまい角度で押さないと閉じない(内部で引っかかる)ので、ワイズの細い靴に入れるのは一苦労することになる。サイドのねじで開き具合を調整しようにも、ねじ穴が浅いのか入っていかない。 幅広の靴に使うには全く問題ないだろうと思う。,2
とにかく使いやすい!! すぐ温まるからすぐ使えるし、コンパクトで持ち運んでも使える。お値段以上でした!!,4
到着後すぐに確認して洗ったので特に問題はありませんでしたが、気付かずに山に持って行って山頂で手がベタベタになったら不愉快極まりないだろうなとは思いますね。金属板は8枚で十分だったのですが、10枚のこちらの方が安価だったので2枚外して使っています。,2
家の台所に入っていて、水が出るのが早くて、おばあちゃんはとても使いやすいと言いました。,4
安いからか分からないけど、パッケージとか写真も現物と違った。機能自体は同じだから使ってたけど使用電池の表記も違ったし、何より新品の電池に変えて3日も保たない。 長持ちの概念壊れるで…3日保てば長いのか…たまげたなぁ…メモ帳買って使った方がまだコスパ良いです。1000円分メモ帳買いましょう、多分1ヶ月以上は使えるはずです。 〜3回電池取り替えて使ったけど正直こんなのなら要らないです。1000円の勉強代って考えて本体はゴミ箱行きです,0
ゲームのスリルを味わいたくて購入しました。届いて使ってみると、思ったいじょうにスリル満点でゲームをすることが出来ました。もう1つ購入して弟と一緒にスリル満点で、ゲーム対戦したいと思います。,4
"Zenfone4に使用して4日目、何度指で押しても四方の縁が3,4ミリ浮いていて、ピタッと密着しない。レンズ用の穴の位置も微妙にずれている。 仕方がないので我慢して使っているけど、よく見ると縁に細かいゴミが着いてきた。2枚入りだったので、もう少し使ってみてゴミが目立つようになってきたら、もう一枚の方に替えてみようと思う。",1
グリセリンフリーとのことで潤うか心配でしたが、上位配合のマカダミアナッツオイルが良いのかな？思ったよりだいぶ保湿してくれます。,3
思ってたのより少し小さめでした。まあ問題なし。 公園デビュー済み^_^,2
今までも同じものを使用してましたので、本当に安心できます。ストラップも付けられるので、凄く便利です、ありがとうございました。,4
生後6ヶ月の娘がお座りをするようになり、よく後ろに倒れていたので購入しました。 うちの娘には少し肩のゴムが短かかったようで、肩からずり落ちていました。今では殆ど背負う事はなくなり、オモチャとして遊んでいます。,2
抜本的に大本が故障していたので、評価できないです。使わずに電気の本体自体変えました。,2
ヤマキならまあ大丈夫かな、と初めて買った商品だったが、やり方通りにやっても色は出るが味が薄い。 ２番ダシという言い方があるが、とても無理。購入時期によって違いがあるのかもしれないが、量が多いのでもう次回購入することはないと思う。 ４分の１ほど使っての再レビュー 最初はちっともダシが出ないと思っていたのだが、今回は良かった。使い始めの部分は削り節の品質が保てなかったということがあるだろうか。期待して残りを使ってみようと思う。,2
最近忘れっぽいのでDHA摂取目的に購入。 様子見たいと思います。,4
DENONに問い合わせて判った時はもうびっくり！スマホとは問題無いが、適合するトランスミッターを購入するしか無さそうだが、それにも不適合が有ると云うので現在問合せ中だが裁定での2000円はする様だ。CDステーションのマニュアルにもヘッドホンの説明にもこんな重要な事が載って無いとは・・もう詐欺だね！ 但し、ヘッドホンに付属の3.5mm接続ケーブルでは良い音が聞けたのでヘッドホンの基本機能と性能はこの値段では満足なものだったので２点です。,1
この商品を使用する前は小便をし終わって椅子に戻るとちょこっと漏らして 白いパンツの股間部分を黄色く汚して家内に文句を言われました これも老化の現象でしょう何しろ【８３才】の年寄ですから ご同輩に進言します その部分を白いまま維持するならは覚悟しましょうーーー 但し「小便」をしたくなったらズボンの上げ下ろしを覚悟しなければなりません。,3
リーフレットのほぼ全ページが写真のように汚損されており、返品しました。,0
見た目は良いのですが、歩く動作は蜘蛛が歩いている様には到底思えないです。ギミックの為歩くという機構が犠牲になっているのはしょうがないのかもしれないですね。ディスプレイ目的なら○です。,1
イマイチ取り付けにくい感じで、不器用な私はプッシュピンを破壊してしまい破棄の憂き目に…バックパネルからネジ止めとかの方がかえって良かったかも？ 取り付け方法やタイミングに一考の余地有り。 物理干渉は特になく、メモリやM.2 SSDなどに干渉する確率は少ないかと思いますが、ヒートシンクとかはギリギリ干渉の可能性有り。マザーボードのレイアウト次第。 取り付け時に手袋必須、ピンがヒートシンクの下側に潜り込む都合で引っ掻いてしまう可能性有り。意外と取り付けにくかった感じです。 ちなみに、プッシュピンを破壊してしまったので…120mmファンはケースに転用。わりと静かに機能しています。,2
商品が届いてさっそく寝てみましたが、高反発が私にはちょうど良いです。 厚さ5センチだとどのようなものかと思いましたが全然大丈夫だと感じました。買って良かったです。,4
チェーンが掃除出来ていいですが、オイルももうちょっと欲しいです。,2
インフルエンザ予防の例のヨーグルト作りのために買いました。あらかじめ牛乳を温めなくても二回ともできました。 インフル予防になるかはあてにしていませんが、ワクチンが足りないので気休めです。腸内環境がよくなると感染症に多少強くなるそうなので。,4
仕事用に購入。期待以上の軽さと履き心地に大満足です。又、派手すぎない色合いも気に入りました。,4
香りは良いのですが、ベタついてしまって髪が束になってしまいます…クシを通すと戻りますが、白い粉が浮き出るためフケみたいに見えるのが嫌です…。,1
女性でも簡単にとりつけることができました^_^車のナビが古いので携帯のグーグルマップを使用していましたが、 手にもったままも危ないし、 スピードメーターのところにたてかけていましたが曲がるときに落っこちたりしていましたが、これのおかげで安全に運転できるようになりました^_^,4
オシャレなトレイを探してましたが、まさにオシャレ！ ただ、サイズが大きかったので今は置場に悩まされてます。,3
80年代テイスト。と思ったら監督ジョー・ダンテとな。 よほど暇な人以外は見なくていいです。,1
気持ち底がもう少し安定していると安心します。 が、とても重宝しています。,2
ライディングシューズの防水が欲しくて、探していたところ、このシューズを見つけました。ワーキングシューズですが、ライディングシューズに劣らぬデザインが気に入っています。 写真はバイクで初めて使用し120Km位走った後の写真です。 左足のつま先部分に擦った痕が付いています。シフトチェンジ時に付いた痕です。これがダメだと思う人はやめた方がいいと思います。(色により若干の違いはあると思います) 履き心地はシューズメーカーだけあってスポーツシューズを履いている感覚です。濡れた路面も滑らないし、シフトチェンジやブレーキングも問題ありません。 バイク専用ではないので擦れキズを気にしない方にオススメです。自分は気にしませんが！,3
1歳2か月の柴犬です。届いてすぐに与えました。最初は喜んでカミカミしていましたが、気が付くと太い方の先から３㎝ほど粉々になっていてあわてて取り上げました。ほんの３０分ほどの耐久性でした。犬が噛むが前提なのに耐久性はこんなもの？？？って感じです。,0
アディダスに見えません その割には高いです,1
買って一ヶ月で壊れました。安いからしょうがないと思いますが残念です,1
どんなもんか気になって使ってみました。 困ったことに全然白くなりません…… コーヒーを沢山飲むため、半年に一度くらい自分で着色を落としていました。ちょうどクリーニングする時期だったので、本商品を使用してみましたが、一向に効果が得られませんでした。 口腔内細菌の事を考えるなら、強力な洗浄剤を毎日使うのは良くないことですし、効果もあまりないのでオススメはしません。,1
発注後3日後に配送されました。包装はきっちりできていました。開封後すぐに充電しました。10分程度で満充電のメロデイが鳴りました。後は使用感と充電の持ちですね。早速使用してみました。初回満充電で15分余りで電池がなくなりました。後は使用できません。6.0Ahなのに電池の持ちが悪いです。このことを販売店に連絡しました。早速に早い対応で、すぐに代替商品をお送りいただきました。保証の心を込めてお送りいただきました。一見した感ではうまく使用できる感じですが、連続使用時間が短い気がします。この先長く愛用できるか楽しみにしたいと思います。,2
元がリベット固定でしたので壊れたタイヤを取り除くのが一番大変でした。電動ドリルを使ってリベットを削り壊して外しました。 元タイヤが22ミリ厚だったので遊びが多いのが やや不安ですが、室内で試してみた分には快適です。,3
セールで安かったので購入しました。 ほどよくすーすーします。すっきりはしますが、さらさらって感じにはなりませんでした。,3
初めて着る毛布を使いました 思いより暖かくて便利です 家にいる時ずっと着てて全然寒くはないです 重さも軽くて気持ち良いです ふわふわで好きです！寝るときも着たままで十分オーケーです 家族の人にも買ってあげたいです,4
子供が産まれたら使用するけど、耐久性が不安です。,2
ケースに多少の凹みはあったけど中身は大丈夫でした。ダンベルに汚れは少しあり、拭いたら気にならないぐらいかな。 値段は安いほうだと思うので満足です。 大きさも大きすぎず、いいぐらいです。 使用してたら気づきましたが止めるやつのゴムが取れやすいです レビューしたらグローブきました,3
オナホが温まりきるまで少し時間がかかるのとすぐに冷めちゃうのが残念だと思った。まぁ気持ちよかったけど,2
すぐ沸騰するので野菜を茹でたり少しの汁物作りにとても便利です。 届いた時からの塗装の剥げはマイナスでしたが使いやすさに関しては満足です。,2
控えめな値段なのであまり期待していませんでしたが、私にとって満足のいく製品でした。 安定感があり、折りたたむことができます。 操作もとても簡単です。 私は明るさだけでなく、色調を変える能力も好きです。 品質は非常によさそうだ、私はこの光をお勧めします。,4
２ヶ月で壊れたわ レビューにもあったが 黒いタバコを刺すあたりの パッキンが溶けます なんで その素材にしたんだろう？ 最終的には 本体から外す上の部分の 磁石がとれて しかも臭かった かなり臭いです 結局アイコス買ったんで はなから 無駄遣いになりました,1
見た目もカッコいいし、軽くて折りたたみもスムーズにできます。 職場に通ってますが、室内にも入れられて便利。,3
価格以上にしっかりした造りと機能、まるで純正品のようでした。,3
前回購入した他社製品の方が値段が少し高かったので安心できるかなと思い 購入したのですが...全然反応せずでこちらを購入させていただいたのですが、 通常通り充電も認識もバッチリでした。 良くある「OSアップデートで認識されなくなる」というトラブルも皆無。 他のレビューにiPadに対応しないという内容があるがこちらは正常に動作 していますが、謎だね！ 画像を読み込み速度がそんなに早くないが、気にならない程度です。,4
2匹分2個購入致しましたが、2個共にクリップ部分が直ぐ外れてしまいます。 効果も今のところ？です。,1
いいね。サイスはちょうど大きくて。履いてふわふわって、さっぱりして気持ちがよいこと。丁寧の包装の仕方。,4
右側のグリップの六角が固くて回らないので固定できず。 他にもキズ等有り、返品予定です。,0
購入使用後約半年で突然死しました。交換等スムーズに済めばそれはそれで評価ですが、商品そのもの評価は低めです。内部のセルがよくわからないメーカなのと、古めのパソコンの物なので仕方のないことなのかもしれません。,1
鰹節と煮干しで出しと取ったときの中間ぐらい。煮干しよりは断然いいです。粉末で出しを取ったあとのゴミがないので便利。,3
デザインがいい音質がいいです！Bluetoothのイヤホンすごく便利です！いい商品と思う！,4
最初だけ手動でペアリングしておけば、後は電源を入れたら自動でペアリングしてくれるのが楽。その他色々機能があり充実してますし、音量もMAXにしたらうるさいくらいの充分な音量。自分はいつもLINE通話用に使ってます。ただ、ふわっちとかのコラボに上がるとペアリングが外れて本体から音が出てしまうので、配信向きではないかと思われます。,4
サバゲーで汗をかくので購入しました。 涼しさはあまり感じませんが、汗止めとしては非常に良いと思います。 吸水性もとてもいいですが、星4の理由としては生地が薄いので僕の大量の汗は容量オーバーのようですｗ,4
ちょいとピンが固めでした。差すのが怖いです。他のプロコンなどのケーブルはスッとささります。 一応さされば、問題無く通信は出来ました(CPM1),2
スカイプで相手から聞く際のマイクの音質が ノイズが混じりこもるようだといわれ残念でした。 聞く分にはいいですが話しをするのには特化してないようです。,0
このタオルは我が家の定番になっていて今回は買い替えで購入しました。評判どおり吸水性がよく、バスタオルとして十分な使い勝手です。,4
物はとても良いです、ただ塗装が必要だったため二点にしました。 素晴らしい形をしていますので、完成品（当然塗装済）でも良いと思いますよ,1
問題なくBluetoothの同期が出来ました。音楽を聴くもイヤホン側、本体側からも問題なく操作出来ました。音質もとてもクリアーに聞こえます。 スイッチの位置、通話ボタンの位置、全てにおいて使い易いです。しかも装着している事を忘れてしまうほど付け心地も良いです。,4
早速開封 箱はしっかりした造りで輸送中でも傷みそうにないが説明書は英語のみでさっぱりわからんしバルブ本体はシルバーの塗装が所々剥げているしさすが激安品 仮に点灯しなくなっていた片側のみ取付てみたが今まで使用してた商品(6500K)よりかなり黄色く感じる(6000K)と書かれているからそこまで変わらないと思っていたから少しショックです｡近いうちにきちんと光軸調整してきちんとカットラインが出ているか確認してレビューします｡,2
4コセットの変換アダプタのうち、90度方向を変換する延長アダプターの精度が悪く他のアタッチメントにつけることができません。2つの突起の間隔が狭いために発生しています。最新改良版と書かれていますが寸法検査などはしていないのでしょう、樹脂金型の修正が必要です。,1
知り合いの高齢者に頼まれて購入。施設の隣の方に音の苦情があったとかで。しかし、音がこもって聞きずらいと言われました。残念。,1
受け取れてない！ 連絡も無い！ 7/6ってなってたのに！ 問い合わせても返事が無い！！！ ムカついて言葉も無い！ 星？ マイナスじゃ！,0
タバコは吸わずコーヒーや食べ物で歯が黄ばんできました。 白くなる というレビューを見て購入しましたが、使用して1週間くらい経ちますが白くなりません。,0
明るくていいんですが チカチカなるので 買い替えようと思っています 正直買わないほうが良かったです,0
腕につけられるバンドを止める部分が一度使用したら、もうとれてバンドを止められなくなってしまいました。,1
ライトに使うにはいい。 運動会では活躍する場面も多かった。,3
